"county","state","home_affordability","cum_county","cum_home_affordability"
"Pitkin","Colorado","22","0.03%","0.21%"
"Nantucket","Massachusetts","21","0.06%","0.41%"
"San Miguel","Colorado","19","0.09%","0.59%"
"Teton","Wyoming","17","0.12%","0.75%"
"Dukes","Massachusetts","13","0.15%","0.88%"
"New York","New York","12","0.19%","0.99%"
"Monroe","Florida","11","0.22%","1.1%"
"Eagle","Colorado","11","0.25%","1.21%"
"San Juan","Washington","10","0.28%","1.31%"
"Kings","New York","10","0.31%","1.41%"
"Blaine","Idaho","10","0.34%","1.51%"
"Maui","Hawaii","10","0.37%","1.61%"
"Santa Cruz","California","10","0.4%","1.7%"
"Marin","California","10","0.43%","1.8%"
"San Mateo","California","10","0.46%","1.89%"
"Madison","Montana","9","0.49%","1.98%"
"Summit","Colorado","9","0.53%","2.08%"
"Los Angeles","California","9","0.56%","2.17%"
"Kauai","Hawaii","9","0.59%","2.26%"
"Routt","Colorado","9","0.62%","2.34%"
"San Francisco","California","9","0.65%","2.43%"
"Santa Clara","California","9","0.68%","2.52%"
"Bronx","New York","9","0.71%","2.61%"
"Grand","Utah","9","0.74%","2.7%"
"Bonner","Idaho","9","0.77%","2.79%"
"Summit","Utah","9","0.8%","2.87%"
"Santa Barbara","California","9","0.83%","2.96%"
"Chaffee","Colorado","9","0.87%","3.05%"
"Grand","Colorado","9","0.9%","3.13%"
"Walton","Florida","9","0.93%","3.21%"
"Ouray","Colorado","9","0.96%","3.3%"
"San Luis Obispo","California","9","0.99%","3.38%"
"Watauga","North Carolina","9","1.02%","3.47%"
"Teton","Idaho","8","1.05%","3.55%"
"Orange","California","8","1.08%","3.63%"
"Valley","Idaho","8","1.11%","3.71%"
"Lake","Montana","8","1.14%","3.79%"
"Gunnison","Colorado","8","1.17%","3.88%"
"Flathead","Montana","8","1.21%","3.96%"
"Jefferson","Washington","8","1.24%","4.04%"
"Mendocino","California","8","1.27%","4.12%"
"Alameda","California","8","1.3%","4.2%"
"Mono","California","8","1.33%","4.28%"
"Queens","New York","8","1.36%","4.35%"
"Coconino","Arizona","8","1.39%","4.43%"
"Taos","New Mexico","8","1.42%","4.51%"
"San Diego","California","8","1.45%","4.59%"
"Park","Montana","8","1.48%","4.67%"
"Monterey","California","8","1.51%","4.74%"
"Honolulu","Hawaii","8","1.55%","4.82%"
"Lincoln","Montana","8","1.58%","4.9%"
"Hood River","Oregon","8","1.61%","4.97%"
"Napa","California","8","1.64%","5.05%"
"Fannin","Georgia","8","1.67%","5.12%"
"Adams","Idaho","7","1.7%","5.2%"
"Wasatch","Utah","7","1.73%","5.27%"
"Ravalli","Montana","7","1.76%","5.34%"
"Jeff Davis","Texas","7","1.79%","5.41%"
"Gallatin","Montana","7","1.82%","5.48%"
"Sonoma","California","7","1.85%","5.55%"
"Douglas","Nevada","7","1.89%","5.62%"
"Sanders","Montana","7","1.92%","5.7%"
"Tillamook","Oregon","7","1.95%","5.77%"
"Ventura","California","7","1.98%","5.84%"
"Humboldt","California","7","2.01%","5.91%"
"Llano","Texas","7","2.04%","5.98%"
"Granite","Montana","7","2.07%","6.05%"
"Yavapai","Arizona","7","2.1%","6.12%"
"Lincoln","Oregon","7","2.13%","6.19%"
"Deschutes","Oregon","7","2.16%","6.26%"
"Presidio","Texas","7","2.19%","6.33%"
"Missoula","Montana","7","2.23%","6.4%"
"Nevada","California","7","2.26%","6.46%"
"Archuleta","Colorado","7","2.29%","6.53%"
"Mineral","Colorado","7","2.32%","6.6%"
"Jackson","North Carolina","7","2.35%","6.67%"
"Boulder","Colorado","7","2.38%","6.74%"
"Suffolk","Massachusetts","7","2.41%","6.81%"
"Boundary","Idaho","7","2.44%","6.87%"
"Gillespie","Texas","7","2.47%","6.94%"
"San Benito","California","7","2.5%","7.01%"
"Cape May","New Jersey","7","2.53%","7.08%"
"Clatsop","Oregon","7","2.57%","7.14%"
"Kootenai","Idaho","7","2.6%","7.21%"
"Hawaii","Hawaii","7","2.63%","7.28%"
"Kittitas","Washington","7","2.66%","7.35%"
"La Plata","Colorado","7","2.69%","7.41%"
"Navajo","Arizona","7","2.72%","7.48%"
"Whatcom","Washington","7","2.75%","7.55%"
"Garfield","Colorado","7","2.78%","7.61%"
"Madison","Idaho","7","2.81%","7.68%"
"Curry","Oregon","7","2.84%","7.74%"
"Rich","Utah","7","2.87%","7.81%"
"Collier","Florida","7","2.91%","7.87%"
"Broadwater","Montana","7","2.94%","7.94%"
"Essex","New Jersey","7","2.97%","8%"
"Barnstable","Massachusetts","7","3%","8.07%"
"Apache","Arizona","7","3.03%","8.13%"
"Dare","North Carolina","7","3.06%","8.2%"
"Clallam","Washington","6","3.09%","8.26%"
"Santa Fe","New Mexico","6","3.12%","8.33%"
"Miami-Dade","Florida","6","3.15%","8.39%"
"Yolo","California","6","3.18%","8.46%"
"King","Washington","6","3.21%","8.52%"
"San Juan","Colorado","6","3.25%","8.58%"
"Whitman","Washington","6","3.28%","8.65%"
"Washington","Utah","6","3.31%","8.71%"
"Benton","Oregon","6","3.34%","8.77%"
"Lincoln","New Mexico","6","3.37%","8.84%"
"Franklin","Florida","6","3.4%","8.9%"
"Island","Washington","6","3.43%","8.96%"
"Owyhee","Idaho","6","3.46%","9.02%"
"Inyo","California","6","3.49%","9.09%"
"Josephine","Oregon","6","3.52%","9.15%"
"Latah","Idaho","6","3.55%","9.21%"
"Gem","Idaho","6","3.59%","9.27%"
"Richmond","New York","6","3.62%","9.33%"
"Sevier","Tennessee","6","3.65%","9.39%"
"Lemhi","Idaho","6","3.68%","9.45%"
"Payette","Idaho","6","3.71%","9.52%"
"Wolfe","Kentucky","6","3.74%","9.58%"
"Greene","Georgia","6","3.77%","9.64%"
"Lamoille","Vermont","6","3.8%","9.7%"
"Contra Costa","California","6","3.83%","9.76%"
"Snohomish","Washington","6","3.86%","9.82%"
"Blanco","Texas","6","3.89%","9.88%"
"Riverside","California","6","3.93%","9.94%"
"Hinsdale","Colorado","6","3.96%","10%"
"Williamson","Tennessee","6","3.99%","10.06%"
"Wahkiakum","Washington","6","4.02%","10.12%"
"Mohave","Arizona","6","4.05%","10.18%"
"Chelan","Washington","6","4.08%","10.24%"
"Charlottesville city","Virginia","6","4.11%","10.3%"
"Klickitat","Washington","6","4.14%","10.36%"
"Newport","Rhode Island","6","4.17%","10.42%"
"San Bernardino","California","6","4.2%","10.48%"
"Skagit","Washington","6","4.23%","10.54%"
"Delta","Colorado","6","4.27%","10.6%"
"Transylvania","North Carolina","6","4.3%","10.66%"
"Denver","Colorado","6","4.33%","10.71%"
"Franklin","Idaho","6","4.36%","10.77%"
"Lane","Oregon","6","4.39%","10.83%"
"Falls Church city","Virginia","6","4.42%","10.89%"
"Carson City","Nevada","6","4.45%","10.95%"
"Ashe","North Carolina","6","4.48%","11.01%"
"Mariposa","California","6","4.51%","11.06%"
"Washoe","Nevada","6","4.54%","11.12%"
"Leelanau","Michigan","6","4.57%","11.18%"
"Charleston","South Carolina","6","4.61%","11.24%"
"Towns","Georgia","6","4.64%","11.3%"
"Gila","Arizona","6","4.67%","11.35%"
"Merced","California","6","4.7%","11.41%"
"Wallowa","Oregon","6","4.73%","11.47%"
"Hudson","New Jersey","6","4.76%","11.52%"
"Glades","Florida","6","4.79%","11.58%"
"Carbon","Montana","6","4.82%","11.64%"
"Essex","Massachusetts","6","4.85%","11.7%"
"El Dorado","California","6","4.88%","11.75%"
"Buncombe","North Carolina","6","4.91%","11.81%"
"Montrose","Colorado","6","4.95%","11.87%"
"Gilpin","Colorado","6","4.98%","11.92%"
"Burnet","Texas","6","5.01%","11.98%"
"Lawrence","South Dakota","6","5.04%","12.04%"
"Manatee","Florida","6","5.07%","12.09%"
"Iron","Utah","6","5.1%","12.15%"
"Larimer","Colorado","6","5.13%","12.21%"
"Clear Creek","Colorado","6","5.16%","12.26%"
"Westchester","New York","6","5.19%","12.32%"
"Jefferson","Montana","6","5.22%","12.38%"
"Butte","California","6","5.26%","12.43%"
"Washington","Idaho","6","5.29%","12.49%"
"San Joaquin","California","6","5.32%","12.54%"
"Montezuma","Colorado","6","5.35%","12.6%"
"Fremont","Idaho","6","5.38%","12.66%"
"Macon","North Carolina","6","5.41%","12.71%"
"Madison","North Carolina","6","5.44%","12.77%"
"Placer","California","6","5.47%","12.82%"
"Carteret","North Carolina","6","5.5%","12.88%"
"Clackamas","Oregon","6","5.53%","12.93%"
"Wasco","Oregon","6","5.56%","12.99%"
"District of Columbia","District of Columbia","5","5.6%","13.04%"
"Jackson","Oregon","5","5.63%","13.1%"
"Johnson","Wyoming","5","5.66%","13.16%"
"Sacramento","California","5","5.69%","13.21%"
"Sussex","Delaware","5","5.72%","13.27%"
"Polk","North Carolina","5","5.75%","13.32%"
"Camas","Idaho","5","5.78%","13.38%"
"Beaufort","South Carolina","5","5.81%","13.43%"
"Multnomah","Oregon","5","5.84%","13.49%"
"Nye","Nevada","5","5.87%","13.54%"
"Benewah","Idaho","5","5.9%","13.6%"
"Real","Texas","5","5.94%","13.65%"
"Travis","Texas","5","5.97%","13.71%"
"Lewis","Washington","5","6%","13.76%"
"Jefferson","Colorado","5","6.03%","13.82%"
"Trinity","California","5","6.06%","13.87%"
"Henderson","North Carolina","5","6.09%","13.92%"
"Plumas","California","5","6.12%","13.98%"
"Avery","North Carolina","5","6.15%","14.03%"
"Solano","California","5","6.18%","14.09%"
"Morgan","Missouri","5","6.21%","14.14%"
"Ada","Idaho","5","6.24%","14.2%"
"Teller","Colorado","5","6.28%","14.25%"
"Cache","Utah","5","6.31%","14.3%"
"Salt Lake","Utah","5","6.34%","14.36%"
"Sarasota","Florida","5","6.37%","14.41%"
"Skamania","Washington","5","6.4%","14.47%"
"Sheridan","Wyoming","5","6.43%","14.52%"
"Beaverhead","Montana","5","6.46%","14.57%"
"Park","Wyoming","5","6.49%","14.63%"
"Palm Beach","Florida","5","6.52%","14.68%"
"Rabun","Georgia","5","6.55%","14.73%"
"Clay","North Carolina","5","6.58%","14.79%"
"Martin","Florida","5","6.62%","14.84%"
"Chatham","North Carolina","5","6.65%","14.89%"
"Gulf","Florida","5","6.68%","14.95%"
"Fayette","Texas","5","6.71%","15%"
"Marion","Oregon","5","6.74%","15.05%"
"Putnam","Georgia","5","6.77%","15.11%"
"Albany","Wyoming","5","6.8%","15.16%"
"Shoshone","Idaho","5","6.83%","15.21%"
"Sumter","Florida","5","6.86%","15.27%"
"Sutter","California","5","6.89%","15.32%"
"McCormick","South Carolina","5","6.92%","15.37%"
"Canyon","Idaho","5","6.96%","15.43%"
"Davidson","Tennessee","5","6.99%","15.48%"
"Pend Oreille","Washington","5","7.02%","15.53%"
"Garfield","Nebraska","5","7.05%","15.58%"
"Douglas","Washington","5","7.08%","15.64%"
"Alleghany","North Carolina","5","7.11%","15.69%"
"Lewis and Clark","Montana","5","7.14%","15.74%"
"Lake","California","5","7.17%","15.79%"
"Stanislaus","California","5","7.2%","15.85%"
"San Juan","Utah","5","7.23%","15.9%"
"Kitsap","Washington","5","7.26%","15.95%"
"Bear Lake","Idaho","5","7.3%","16%"
"Clark","Nevada","5","7.33%","16.06%"
"La Paz","Arizona","5","7.36%","16.11%"
"Yamhill","Oregon","5","7.39%","16.16%"
"Spokane","Washington","5","7.42%","16.21%"
"Charlotte","Florida","5","7.45%","16.26%"
"Mineral","Montana","5","7.48%","16.32%"
"Arapahoe","Colorado","5","7.51%","16.37%"
"Polk","Oregon","5","7.54%","16.42%"
"Alexandria city","Virginia","5","7.57%","16.47%"
"Butte","South Dakota","5","7.6%","16.52%"
"Crook","Oregon","5","7.64%","16.57%"
"Calaveras","California","5","7.67%","16.63%"
"Mason","Washington","5","7.7%","16.68%"
"Park","Colorado","5","7.73%","16.73%"
"Coos","Oregon","5","7.76%","16.78%"
"Middlesex","Massachusetts","5","7.79%","16.83%"
"Walker","Texas","5","7.82%","16.88%"
"Clarke","Georgia","5","7.85%","16.93%"
"Tuolumne","California","5","7.88%","16.99%"
"Maricopa","Arizona","5","7.91%","17.04%"
"Clark","Washington","5","7.94%","17.09%"
"Washington","Oregon","5","7.98%","17.14%"
"Costilla","Colorado","5","8.01%","17.19%"
"Jefferson","Oregon","5","8.04%","17.24%"
"Osceola","Florida","5","8.07%","17.29%"
"Hancock","Georgia","5","8.1%","17.35%"
"St. Lucie","Florida","5","8.13%","17.4%"
"Pinellas","Florida","5","8.16%","17.45%"
"Imperial","California","5","8.19%","17.5%"
"Rockland","New York","5","8.22%","17.55%"
"Adams","Colorado","5","8.25%","17.6%"
"Custer","Idaho","5","8.28%","17.65%"
