"county","state","estimated_house_price","cum_county","cum_estimated_house_price"
"Nantucket","Massachusetts","2,619,768","0.03%","0.35%"
"Pitkin","Colorado","2,227,714","0.06%","0.65%"
"Teton","Wyoming","1,997,237","0.09%","0.92%"
"San Mateo","California","1,578,420","0.12%","1.14%"
"San Miguel","Colorado","1,569,841","0.15%","1.35%"
"Santa Clara","California","1,532,967","0.19%","1.55%"
"Marin","California","1,472,509","0.22%","1.75%"
"Dukes","Massachusetts","1,422,068","0.25%","1.94%"
"San Francisco","California","1,358,132","0.28%","2.13%"
"Summit","Utah","1,291,965","0.31%","2.3%"
"New York","New York","1,258,865","0.34%","2.47%"
"Eagle","Colorado","1,190,860","0.37%","2.63%"
"Santa Cruz","California","1,147,263","0.4%","2.79%"
"Alameda","California","1,094,671","0.43%","2.93%"
"Summit","Colorado","1,043,609","0.46%","3.07%"
"Orange","California","1,013,855","0.49%","3.21%"
"Routt","Colorado","1,009,698","0.53%","3.35%"
"Maui","Hawaii","1,001,393","0.56%","3.48%"
"Monroe","Florida","978,347","0.59%","3.61%"
"Falls Church city","Virginia","976,978","0.62%","3.75%"
"San Juan","Washington","919,714","0.65%","3.87%"
"Kauai","Hawaii","906,090","0.68%","3.99%"
"Blaine","Idaho","902,465","0.71%","4.11%"
"Wasatch","Utah","897,976","0.74%","4.23%"
"Santa Barbara","California","893,525","0.77%","4.36%"
"Napa","California","885,986","0.8%","4.47%"
"Honolulu","Hawaii","866,941","0.83%","4.59%"
"San Diego","California","857,190","0.87%","4.71%"
"Williamson","Tennessee","855,056","0.9%","4.82%"
"Los Angeles","California","851,569","0.93%","4.94%"
"San Luis Obispo","California","844,814","0.96%","5.05%"
"Kings","New York","840,792","0.99%","5.16%"
"King","Washington","839,485","1.02%","5.28%"
"Contra Costa","California","824,112","1.05%","5.39%"
"Ventura","California","823,292","1.08%","5.5%"
"Teton","Idaho","810,638","1.11%","5.61%"
"San Benito","California","792,206","1.14%","5.72%"
"Sonoma","California","790,864","1.17%","5.82%"
"Monterey","California","789,137","1.21%","5.93%"
"Grand","Colorado","771,281","1.24%","6.03%"
"Arlington","Virginia","771,164","1.27%","6.14%"
"Ouray","Colorado","768,981","1.3%","6.24%"
"Boulder","Colorado","757,384","1.33%","6.34%"
"Mono","California","737,850","1.36%","6.44%"
"Douglas","Colorado","730,041","1.39%","6.54%"
"Walton","Florida","722,464","1.42%","6.64%"
"Westchester","New York","721,264","1.45%","6.73%"
"Queens","New York","720,938","1.48%","6.83%"
"Loudoun","Virginia","715,689","1.51%","6.93%"
"Snohomish","Washington","706,477","1.55%","7.02%"
"Middlesex","Massachusetts","705,316","1.58%","7.12%"
"Nassau","New York","700,953","1.61%","7.21%"
"Fairfax","Virginia","694,876","1.64%","7.31%"
"Placer","California","689,795","1.67%","7.4%"
"Suffolk","Massachusetts","684,282","1.7%","7.49%"
"Fairfax city","Virginia","679,646","1.73%","7.58%"
"Gunnison","Colorado","677,610","1.76%","7.68%"
"Valley","Idaho","676,762","1.79%","7.77%"
"Douglas","Nevada","676,366","1.82%","7.86%"
"Elbert","Colorado","674,823","1.85%","7.95%"
"Gallatin","Montana","673,664","1.89%","8.04%"
"Hood River","Oregon","670,350","1.92%","8.13%"
"Madison","Montana","668,732","1.95%","8.22%"
"Barnstable","Massachusetts","665,365","1.98%","8.31%"
"Norfolk","Massachusetts","662,242","2.01%","8.4%"
"Morgan","Utah","659,586","2.04%","8.49%"
"Broomfield","Colorado","655,988","2.07%","8.58%"
"Deschutes","Oregon","655,938","2.1%","8.66%"
"El Dorado","California","654,804","2.13%","8.75%"
"Richmond","New York","654,798","2.16%","8.84%"
"Chaffee","Colorado","650,941","2.19%","8.93%"
"Newport","Rhode Island","647,906","2.23%","9.02%"
"Cape May","New Jersey","643,706","2.26%","9.1%"
"Alexandria city","Virginia","636,015","2.29%","9.19%"
"District of Columbia","District of Columbia","635,897","2.32%","9.27%"
"Jefferson","Colorado","635,246","2.35%","9.36%"
"Nevada","California","628,480","2.38%","9.45%"
"Bergen","New Jersey","624,195","2.41%","9.53%"
"Flathead","Montana","624,048","2.44%","9.61%"
"Jefferson","Washington","620,574","2.47%","9.7%"
"Bonner","Idaho","618,545","2.5%","9.78%"
"La Plata","Colorado","616,013","2.53%","9.86%"
"Monmouth","New Jersey","615,693","2.57%","9.95%"
"Garfield","Colorado","613,983","2.6%","10.03%"
"Essex","Massachusetts","613,179","2.63%","10.11%"
"Rockland","New York","613,051","2.66%","10.19%"
"Yolo","California","611,545","2.69%","10.28%"
"Collier","Florida","609,354","2.72%","10.36%"
"Clackamas","Oregon","602,738","2.75%","10.44%"
"Island","Washington","599,956","2.78%","10.52%"
"Grand","Utah","598,102","2.81%","10.6%"
"Suffolk","New York","589,965","2.84%","10.68%"
"Montgomery","Maryland","589,303","2.87%","10.76%"
"Clear Creek","Colorado","589,225","2.91%","10.84%"
"Coconino","Arizona","587,804","2.94%","10.92%"
"Kendall","Texas","586,902","2.97%","11%"
"Solano","California","585,570","3%","11.08%"
"Riverside","California","584,835","3.03%","11.16%"
"Denver","Colorado","584,221","3.06%","11.24%"
"Whatcom","Washington","580,427","3.09%","11.31%"
"Washington","Oregon","580,068","3.12%","11.39%"
"Howard","Maryland","577,728","3.15%","11.47%"
"Travis","Texas","576,003","3.18%","11.55%"
"Forsyth","Georgia","574,043","3.21%","11.62%"
"Leelanau","Michigan","573,680","3.25%","11.7%"
"Blanco","Texas","572,343","3.28%","11.78%"
"Dare","North Carolina","570,234","3.31%","11.86%"
"Morris","New Jersey","568,299","3.34%","11.93%"
"Archuleta","Colorado","565,333","3.37%","12.01%"
"Mendocino","California","563,868","3.4%","12.08%"
"Kootenai","Idaho","561,105","3.43%","12.16%"
"Hawaii","Hawaii","560,445","3.46%","12.24%"
"Sitka City and Borough","Alaska","559,697","3.49%","12.31%"
"Larimer","Colorado","557,975","3.52%","12.39%"
"Hudson","New Jersey","557,270","3.55%","12.46%"
"Park","Montana","557,261","3.59%","12.54%"
"Kitsap","Washington","556,785","3.62%","12.61%"
"Greene","Georgia","555,669","3.65%","12.69%"
"Ravalli","Montana","555,412","3.68%","12.76%"
"Fauquier","Virginia","554,470","3.71%","12.84%"
"Salt Lake","Utah","552,142","3.74%","12.91%"
"Skagit","Washington","547,748","3.77%","12.98%"
"Lake","Montana","546,887","3.8%","13.06%"
"Washington","Rhode Island","546,718","3.83%","13.13%"
"Rich","Utah","545,230","3.86%","13.21%"
"Gilpin","Colorado","544,832","3.89%","13.28%"
"Arapahoe","Colorado","544,632","3.93%","13.35%"
"Plymouth","Massachusetts","543,773","3.96%","13.43%"
"Essex","New Jersey","541,296","3.99%","13.5%"
"Somerset","New Jersey","539,759","4.02%","13.57%"
"Washoe","Nevada","536,212","4.05%","13.64%"
"San Joaquin","California","536,154","4.08%","13.72%"
"Utah","Utah","535,965","4.11%","13.79%"
"Pierce","Washington","532,938","4.14%","13.86%"
"Park","Colorado","531,936","4.17%","13.93%"
"Sacramento","California","530,483","4.2%","14%"
"Missoula","Montana","527,868","4.23%","14.07%"
"Davis","Utah","527,727","4.27%","14.15%"
"Clark","Washington","527,423","4.3%","14.22%"
"San Bernardino","California","527,049","4.33%","14.29%"
"Prince William","Virginia","526,174","4.36%","14.36%"
"Union","New Jersey","525,260","4.39%","14.43%"
"Skamania","Washington","524,936","4.42%","14.5%"
"Charleston","South Carolina","524,638","4.45%","14.57%"
"Hunterdon","New Jersey","523,210","4.48%","14.64%"
"Washington","Utah","521,784","4.51%","14.71%"
"Bristol","Rhode Island","520,240","4.54%","14.78%"
"Ada","Idaho","519,897","4.57%","14.85%"
"St. Johns","Florida","519,541","4.61%","14.92%"
"Benton","Oregon","518,927","4.64%","14.99%"
"Rockingham","New Hampshire","517,994","4.67%","15.06%"
"Santa Fe","New Mexico","517,887","4.7%","15.13%"
"Collin","Texas","515,145","4.73%","15.2%"
"Multnomah","Oregon","512,802","4.76%","15.27%"
"Alpine","California","511,405","4.79%","15.34%"
"Tillamook","Oregon","510,904","4.82%","15.41%"
"Chatham","North Carolina","510,812","4.85%","15.48%"
"Weld","Colorado","509,956","4.88%","15.55%"
"Los Alamos","New Mexico","507,781","4.91%","15.61%"
"Adams","Colorado","506,357","4.95%","15.68%"
"Currituck","North Carolina","505,745","4.98%","15.75%"
"Kittitas","Washington","505,124","5.01%","15.82%"
"Chelan","Washington","504,750","5.04%","15.89%"
"San Juan","Colorado","504,639","5.07%","15.95%"
"Beaufort","South Carolina","504,549","5.1%","16.02%"
"Llano","Texas","503,048","5.13%","16.09%"
"Clatsop","Oregon","500,982","5.16%","16.16%"
"Thurston","Washington","500,460","5.19%","16.23%"
"Rappahannock","Virginia","498,924","5.22%","16.29%"
"Yavapai","Arizona","496,619","5.26%","16.36%"
"Gillespie","Texas","496,453","5.29%","16.43%"
"Taos","New Mexico","496,180","5.32%","16.49%"
"Oconee","Georgia","491,319","5.35%","16.56%"
"Yamhill","Oregon","490,155","5.38%","16.63%"
"Clarke","Virginia","488,137","5.41%","16.69%"
"Cumberland","Maine","487,458","5.44%","16.76%"
"Chester","Pennsylvania","486,298","5.47%","16.82%"
"Lake","Colorado","486,210","5.5%","16.89%"
"Inyo","California","485,901","5.53%","16.95%"
"Stafford","Virginia","482,684","5.56%","17.02%"
"Goochland","Virginia","480,845","5.6%","17.08%"
"Williamson","Texas","480,670","5.63%","17.15%"
"Wake","North Carolina","476,386","5.66%","17.21%"
"Chittenden","Vermont","475,297","5.69%","17.28%"
"Miami-Dade","Florida","475,192","5.72%","17.34%"
"Maricopa","Arizona","475,046","5.75%","17.41%"
"Burnet","Texas","473,783","5.78%","17.47%"
"Albemarle","Virginia","473,631","5.81%","17.53%"
"Juneau City and Borough","Alaska","473,295","5.84%","17.6%"
"Clallam","Washington","472,827","5.87%","17.66%"
"Wilson","Tennessee","472,543","5.9%","17.72%"
"Fannin","Georgia","472,065","5.94%","17.79%"
"Storey","Nevada","471,733","5.97%","17.85%"
"Adams","Idaho","471,696","6%","17.92%"
"Teller","Colorado","471,246","6.03%","17.98%"
"Passaic","New Jersey","471,134","6.06%","18.04%"
"Palm Beach","Florida","470,470","6.09%","18.11%"
"Sarasota","Florida","470,186","6.12%","18.17%"
"Comal","Texas","469,951","6.15%","18.23%"
"Bronx","New York","469,370","6.18%","18.3%"
"Humboldt","California","468,906","6.21%","18.36%"
"Middlesex","New Jersey","467,543","6.24%","18.42%"
"Sussex","Delaware","467,161","6.28%","18.48%"
"Lincoln","Wyoming","467,087","6.31%","18.55%"
"Martin","Florida","466,692","6.34%","18.61%"
"Nassau","Florida","466,111","6.37%","18.67%"
"Denton","Texas","465,759","6.4%","18.74%"
"Jefferson","Montana","465,246","6.43%","18.8%"
"El Paso","Colorado","464,105","6.46%","18.86%"
"Watauga","North Carolina","463,528","6.49%","18.92%"
"Manatee","Florida","463,364","6.52%","18.99%"
"Delaware","Ohio","462,415","6.55%","19.05%"
"Anne Arundel","Maryland","461,724","6.58%","19.11%"
"Curry","Oregon","460,716","6.62%","19.17%"
"Lincoln","Oregon","460,178","6.65%","19.24%"
"Tooele","Utah","459,011","6.68%","19.3%"
"Lamoille","Vermont","458,719","6.71%","19.36%"
"Carver","Minnesota","458,558","6.74%","19.42%"
"Boundary","Idaho","458,505","6.77%","19.48%"
"Orange","North Carolina","457,512","6.8%","19.54%"
"Cache","Utah","457,049","6.83%","19.61%"
"Douglas","Washington","456,776","6.86%","19.67%"
"Putnam","New York","456,370","6.89%","19.73%"
"Crook","Oregon","456,363","6.92%","19.79%"
"Polk","Oregon","455,139","6.96%","19.85%"
"Frederick","Maryland","454,642","6.99%","19.91%"
"Queen Anne's","Maryland","453,715","7.02%","19.97%"
"Klickitat","Washington","452,290","7.05%","20.04%"
"Stanislaus","California","451,355","7.08%","20.1%"
"Hays","Texas","451,072","7.11%","20.16%"
"Ocean","New Jersey","450,812","7.14%","20.22%"
"Carson City","Nevada","450,678","7.17%","20.28%"
"Jefferson","Idaho","450,662","7.2%","20.34%"
"York","Maine","449,837","7.23%","20.4%"
"Broadwater","Montana","449,658","7.26%","20.46%"
"Bristol","Massachusetts","449,588","7.3%","20.52%"
"Charlottesville city","Virginia","449,213","7.33%","20.58%"
"Custer","South Dakota","447,954","7.36%","20.64%"
"Fayette","Georgia","446,165","7.39%","20.7%"
"Carroll","New Hampshire","445,916","7.42%","20.76%"
"Calaveras","California","445,412","7.45%","20.82%"
"Weber","Utah","444,442","7.48%","20.88%"
"Bucks","Pennsylvania","441,585","7.51%","20.94%"
"Gem","Idaho","441,424","7.54%","21%"
"Fayette","Texas","440,542","7.57%","21.06%"
"Fremont","Idaho","439,283","7.6%","21.12%"
"Lane","Oregon","439,001","7.64%","21.18%"
"Carbon","Montana","438,326","7.67%","21.24%"
"Carroll","Maryland","437,855","7.7%","21.3%"
"Talbot","Maryland","437,742","7.73%","21.36%"
"Rockwall","Texas","437,728","7.76%","21.42%"
"Cherokee","Georgia","437,278","7.79%","21.47%"
"Mason","Washington","436,877","7.82%","21.53%"
"Latah","Idaho","436,406","7.85%","21.59%"
"Parker","Texas","435,764","7.88%","21.65%"
"Calvert","Maryland","435,614","7.91%","21.71%"
"Columbia","Oregon","435,425","7.94%","21.77%"
"Buncombe","North Carolina","434,570","7.98%","21.83%"
"Payette","Idaho","432,508","8.01%","21.89%"
"Sutter","California","432,276","8.04%","21.94%"
"Davidson","Tennessee","431,914","8.07%","22%"
"Manassas city","Virginia","430,686","8.1%","22.06%"
"Amador","California","429,214","8.13%","22.12%"
"Kodiak Island Borough","Alaska","429,190","8.16%","22.18%"
"Hillsborough","New Hampshire","429,150","8.19%","22.23%"
"Marion","Oregon","428,720","8.22%","22.29%"
"Jackson","Oregon","427,379","8.25%","22.35%"
"Union","North Carolina","426,868","8.28%","22.41%"
"Boise","Idaho","426,246","8.32%","22.46%"
"Franklin","Florida","425,973","8.35%","22.52%"
"Scott","Minnesota","425,194","8.38%","22.58%"
"Grand Isle","Vermont","424,990","8.41%","22.64%"
"Fredericksburg city","Virginia","424,486","8.44%","22.69%"
"Benton","Washington","423,627","8.47%","22.75%"
"Fulton","Georgia","423,390","8.5%","22.81%"
"Lewis and Clark","Montana","422,893","8.53%","22.86%"
"Charles","Maryland","422,630","8.56%","22.92%"
"Carteret","North Carolina","422,431","8.59%","22.98%"
"Sumner","Tennessee","422,194","8.62%","23.03%"
"Sevier","Tennessee","422,078","8.66%","23.09%"
"Montgomery","Pennsylvania","422,058","8.69%","23.15%"
"Belknap","New Hampshire","421,231","8.72%","23.21%"
"Dawson","Georgia","420,794","8.75%","23.26%"
"Juab","Utah","420,626","8.78%","23.32%"
"Washington","Minnesota","420,389","8.81%","23.38%"
"Sumter","Florida","420,275","8.84%","23.43%"
"Hinsdale","Colorado","419,488","8.87%","23.49%"
"Franklin","Idaho","418,992","8.9%","23.55%"
"James City","Virginia","417,537","8.93%","23.6%"
"Clark","Nevada","416,916","8.96%","23.66%"
"Hamilton","Indiana","416,264","9%","23.71%"
"Butte","California","415,832","9.03%","23.77%"
"Granite","Montana","415,434","9.06%","23.83%"
"Sanders","Montana","415,026","9.09%","23.88%"
"Madison","Idaho","414,524","9.12%","23.94%"
"Spokane","Washington","413,490","9.15%","23.99%"
"Canyon","Idaho","413,362","9.18%","24.05%"
"Box Elder","Utah","413,045","9.21%","24.11%"
"King George","Virginia","412,778","9.24%","24.16%"
"Wilson","Texas","412,298","9.27%","24.22%"
"Pender","North Carolina","412,086","9.3%","24.27%"
"Worcester","Massachusetts","411,983","9.34%","24.33%"
"Sheridan","Wyoming","411,899","9.37%","24.38%"
"Ozaukee","Wisconsin","411,583","9.4%","24.44%"
"Lewis","Washington","411,517","9.43%","24.49%"
"Transylvania","North Carolina","411,337","9.46%","24.55%"
"Culpeper","Virginia","411,264","9.49%","24.6%"
"Cobb","Georgia","410,077","9.52%","24.66%"
"Mariposa","California","409,908","9.55%","24.72%"
"Park","Wyoming","409,839","9.58%","24.77%"
"Broward","Florida","409,067","9.61%","24.83%"
"Lawrence","South Dakota","408,920","9.64%","24.88%"
"Waukesha","Wisconsin","407,048","9.68%","24.94%"
"Montrose","Colorado","406,118","9.71%","24.99%"
"Mecklenburg","North Carolina","405,946","9.74%","25.05%"
"Wallowa","Oregon","405,934","9.77%","25.1%"
"Prince George's","Maryland","405,910","9.8%","25.15%"
"Jefferson","Oregon","405,548","9.83%","25.21%"
"Bastrop","Texas","404,866","9.86%","25.26%"
"Powhatan","Virginia","404,422","9.89%","25.32%"
"Lee","Florida","404,324","9.92%","25.37%"
"Strafford","New Hampshire","404,093","9.95%","25.43%"
"Owyhee","Idaho","403,800","9.98%","25.48%"
"Dutchess","New York","403,604","10.02%","25.54%"
"Addison","Vermont","403,557","10.05%","25.59%"
"Merced","California","403,319","10.08%","25.64%"
"Yuba","California","401,753","10.11%","25.7%"
"Manassas Park city","Virginia","401,483","10.14%","25.75%"
"Tuolumne","California","401,477","10.17%","25.81%"
"Poquoson city","Virginia","401,145","10.2%","25.86%"
"Oldham","Kentucky","400,995","10.23%","25.92%"
"Iron","Utah","400,439","10.26%","25.97%"
"Gwinnett","Georgia","399,959","10.29%","26.02%"
"Kane","Utah","399,395","10.32%","26.08%"
"Windsor","Vermont","399,225","10.36%","26.13%"
"Merrimack","New Hampshire","398,670","10.39%","26.18%"
"Worcester","Maryland","398,655","10.42%","26.24%"
"Rutherford","Tennessee","398,559","10.45%","26.29%"
"New Hanover","North Carolina","398,043","10.48%","26.35%"
"Henderson","North Carolina","397,331","10.51%","26.4%"
"York","Virginia","396,845","10.54%","26.45%"
"Lyon","Nevada","396,179","10.57%","26.51%"
"Johnson","Kansas","396,090","10.6%","26.56%"
"Josephine","Oregon","395,929","10.63%","26.61%"
"Spotsylvania","Virginia","395,810","10.66%","26.67%"
"Cowlitz","Washington","395,231","10.7%","26.72%"
"Durham","North Carolina","395,158","10.73%","26.77%"
"Orange","Florida","394,938","10.76%","26.83%"
"Columbia","New York","394,642","10.79%","26.88%"
"Jackson","North Carolina","394,562","10.82%","26.93%"
"Walla Walla","Washington","394,449","10.85%","26.99%"
"Franklin","Washington","394,340","10.88%","27.04%"
"Madera","California","394,051","10.91%","27.09%"
"Pinal","Arizona","393,715","10.94%","27.15%"
"Brunswick","North Carolina","393,649","10.97%","27.2%"
"Lincoln","Maine","393,510","11%","27.25%"
"Morgan","Georgia","392,769","11.04%","27.3%"
"Dane","Wisconsin","392,418","11.07%","27.36%"
"Knox","Maine","392,332","11.1%","27.41%"
"Gilmer","Georgia","391,888","11.13%","27.46%"
"Stillwater","Montana","391,577","11.16%","27.52%"
"Seminole","Florida","391,323","11.19%","27.57%"
"Garfield","Nebraska","390,936","11.22%","27.62%"
"Pinellas","Florida","389,657","11.25%","27.67%"
"Hillsborough","Florida","389,322","11.28%","27.73%"
"Gulf","Florida","388,644","11.31%","27.78%"
"Emmet","Michigan","388,337","11.34%","27.83%"
"Linn","Oregon","388,076","11.38%","27.88%"
"Mineral","Colorado","387,431","11.41%","27.94%"
"Lincoln","Montana","386,537","11.44%","27.99%"
"St. Mary's","Maryland","386,120","11.47%","28.04%"
"Flagler","Florida","385,656","11.5%","28.09%"
"Bonneville","Idaho","385,473","11.53%","28.14%"
"Orange","New York","385,290","11.56%","28.2%"
"Ketchikan Gateway Borough","Alaska","384,445","11.59%","28.25%"
"Fort Bend","Texas","382,879","11.62%","28.3%"
"Somervell","Texas","382,798","11.65%","28.35%"
"Sublette","Wyoming","382,749","11.68%","28.4%"
"St. Lucie","Florida","382,680","11.72%","28.45%"
"Johnson","Wyoming","382,193","11.75%","28.51%"
"Fresno","California","382,162","11.78%","28.56%"
"Hanover","Virginia","382,111","11.81%","28.61%"
"Wasco","Oregon","381,727","11.84%","28.66%"
"Plumas","California","381,475","11.87%","28.71%"
"Osceola","Florida","381,263","11.9%","28.76%"
"Montezuma","Colorado","380,897","11.93%","28.81%"
"Wise","Texas","380,656","11.96%","28.87%"
"Frederick","Virginia","380,542","11.99%","28.92%"
"Bear Lake","Idaho","380,248","12.02%","28.97%"
"Mesa","Colorado","380,103","12.06%","29.02%"
"Maury","Tennessee","379,712","12.09%","29.07%"
"Anchorage Municipality","Alaska","379,134","12.12%","29.12%"
