"county","state","mean_income","cum_county","cum_mean_income"
"San Mateo","California","226,660","0.03%","0.08%"
"Marin","California","224,140","0.06%","0.16%"
"Santa Clara","California","219,664","0.09%","0.24%"
"Loudoun","Virginia","209,947","0.12%","0.32%"
"Western Connecticut Planning Region","Connecticut","209,168","0.15%","0.4%"
"Summit","Utah","208,695","0.19%","0.47%"
"Falls Church city","Virginia","205,626","0.22%","0.55%"
"San Francisco","California","204,625","0.25%","0.62%"
"Pitkin","Colorado","200,851","0.28%","0.69%"
"Nantucket","Massachusetts","194,491","0.31%","0.76%"
"New York","New York","192,391","0.34%","0.83%"
"Fairfax","Virginia","191,191","0.37%","0.9%"
"Nassau","New York","187,735","0.4%","0.97%"
"Westchester","New York","187,481","0.43%","1.04%"
"Somerset","New Jersey","186,372","0.46%","1.11%"
"Teton","Wyoming","185,173","0.49%","1.17%"
"Arlington","Virginia","184,356","0.53%","1.24%"
"Hunterdon","New Jersey","182,668","0.56%","1.31%"
"Morris","New Jersey","181,402","0.59%","1.37%"
"Howard","Maryland","180,793","0.62%","1.44%"
"Williamson","Tennessee","177,673","0.65%","1.5%"
"Douglas","Colorado","177,521","0.68%","1.57%"
"Norfolk","Massachusetts","177,133","0.71%","1.63%"
"Montgomery","Maryland","177,086","0.74%","1.69%"
"Dukes","Massachusetts","176,872","0.77%","1.76%"
"Goochland","Virginia","172,374","0.8%","1.82%"
"Middlesex","Massachusetts","172,162","0.83%","1.88%"
"Contra Costa","California","172,107","0.87%","1.95%"
"Alameda","California","171,948","0.9%","2.01%"
"King","Washington","170,405","0.93%","2.07%"
"Fairfax city","Virginia","170,219","0.96%","2.13%"
"Bergen","New Jersey","169,191","0.99%","2.19%"
"Monmouth","New Jersey","168,016","1.02%","2.25%"
"Los Alamos","New Mexico","167,396","1.05%","2.32%"
"Chester","Pennsylvania","165,377","1.08%","2.38%"
"Forsyth","Georgia","164,032","1.11%","2.43%"
"Suffolk","New York","163,151","1.14%","2.49%"
"Alpine","California","162,949","1.17%","2.55%"
"Oconee","Georgia","161,413","1.21%","2.61%"
"Delaware","Ohio","161,060","1.24%","2.67%"
"Wasatch","Utah","159,943","1.27%","2.73%"
"Alexandria city","Virginia","159,455","1.3%","2.79%"
"Oldham","Kentucky","159,042","1.33%","2.84%"
"Rockwall","Texas","158,752","1.36%","2.9%"
"District of Columbia","District of Columbia","157,604","1.39%","2.96%"
"Stafford","Virginia","157,495","1.42%","3.02%"
"Eagle","Colorado","157,411","1.45%","3.07%"
"Hamilton","Indiana","156,318","1.48%","3.13%"
"Elbert","Colorado","156,236","1.51%","3.19%"
"Fauquier","Virginia","155,933","1.55%","3.24%"
"Kendall","Texas","155,655","1.58%","3.3%"
"Prince William","Virginia","155,425","1.61%","3.36%"
"Carver","Minnesota","154,466","1.64%","3.41%"
"Montgomery","Pennsylvania","154,372","1.67%","3.47%"
"Napa","California","154,011","1.7%","3.52%"
"Calvert","Maryland","153,737","1.73%","3.58%"
"Santa Cruz","California","153,085","1.76%","3.63%"
"Anne Arundel","Maryland","152,859","1.79%","3.69%"
"Morgan","Utah","152,810","1.82%","3.75%"
"Orange","California","152,475","1.85%","3.8%"
"Lake","Illinois","152,447","1.89%","3.86%"
"Broomfield","Colorado","152,217","1.92%","3.91%"
"Boone","Indiana","151,849","1.95%","3.97%"
"Putnam","New York","150,924","1.98%","4.02%"
"Collin","Texas","150,558","2.01%","4.08%"
"Scott","Minnesota","150,088","2.04%","4.13%"
"DuPage","Illinois","149,370","2.07%","4.18%"
"Routt","Colorado","148,388","2.1%","4.24%"
"Washington","Minnesota","148,315","2.13%","4.29%"
"Bristol","Rhode Island","148,308","2.16%","4.35%"
"Placer","California","147,894","2.19%","4.4%"
"Rockland","New York","147,764","2.23%","4.45%"
"Sherman","Texas","147,760","2.26%","4.51%"
"Plymouth","Massachusetts","147,024","2.29%","4.56%"
"Bucks","Pennsylvania","145,806","2.32%","4.61%"
"El Dorado","California","145,804","2.35%","4.67%"
"Rockingham","New Hampshire","145,728","2.38%","4.72%"
"Union","New Jersey","145,621","2.41%","4.77%"
"Boulder","Colorado","144,869","2.44%","4.82%"
"Frederick","Maryland","144,655","2.47%","4.88%"
"St. Johns","Florida","143,324","2.5%","4.93%"
"Sussex","New Jersey","143,320","2.53%","4.98%"
"Johnson","Kansas","142,699","2.57%","5.03%"
"Warren","Ohio","142,625","2.6%","5.08%"
"Fort Bend","Texas","142,109","2.63%","5.13%"
"Ventura","California","141,716","2.66%","5.19%"
"Albemarle","Virginia","141,600","2.69%","5.24%"
"Denton","Texas","141,539","2.72%","5.29%"
"Fulton","Georgia","141,480","2.75%","5.34%"
"Fayette","Georgia","140,838","2.78%","5.39%"
"Collier","Florida","140,361","2.81%","5.44%"
"Rappahannock","Virginia","140,266","2.84%","5.49%"
"Charles","Maryland","140,010","2.87%","5.54%"
"Manassas city","Virginia","139,363","2.91%","5.59%"
"Queen Anne's","Maryland","139,205","2.94%","5.65%"
"Newport","Rhode Island","139,007","2.97%","5.7%"
"Carroll","Maryland","138,928","3%","5.75%"
"Mercer","New Jersey","138,732","3.03%","5.8%"
"St. Mary's","Maryland","138,624","3.06%","5.85%"
"Sonoma","California","138,572","3.09%","5.9%"
"Summit","Colorado","138,554","3.12%","5.95%"
"Greene","Georgia","138,416","3.15%","6%"
"Middlesex","New Jersey","138,274","3.18%","6.05%"
"San Benito","California","138,189","3.21%","6.1%"
"Travis","Texas","137,817","3.25%","6.15%"
"Jefferson","Colorado","137,752","3.28%","6.2%"
"Clarke","Virginia","137,142","3.31%","6.25%"
"Santa Barbara","California","137,063","3.34%","6.3%"
"Ozaukee","Wisconsin","136,887","3.37%","6.35%"
"Burlington","New Jersey","136,507","3.4%","6.4%"
"San Diego","California","136,236","3.43%","6.45%"
"Waukesha","Wisconsin","136,213","3.46%","6.49%"
"Suffolk","Massachusetts","136,155","3.49%","6.54%"
"Essex","Massachusetts","136,127","3.52%","6.59%"
"Snohomish","Washington","136,089","3.55%","6.64%"
"Clear Creek","Colorado","136,058","3.59%","6.69%"
"Geauga","Ohio","135,616","3.62%","6.74%"
"New Kent","Virginia","135,614","3.65%","6.79%"
"Poquoson city","Virginia","135,303","3.68%","6.84%"
"Hennepin","Minnesota","135,302","3.71%","6.89%"
"Hanover","Virginia","135,241","3.74%","6.94%"
"Greater Bridgeport Planning Region","Connecticut","134,912","3.77%","6.99%"
"Union","Ohio","134,832","3.8%","7.04%"
"Williamson","Texas","134,720","3.83%","7.08%"
"Dallas","Iowa","134,691","3.86%","7.13%"
"Wake","North Carolina","134,151","3.89%","7.18%"
"Lower Connecticut River Valley Planning Region","Connecticut","134,068","3.93%","7.23%"
"Montgomery","Texas","133,981","3.96%","7.28%"
"Washington","Oregon","133,965","3.99%","7.33%"
"Orange","North Carolina","133,780","4.02%","7.38%"
"Honolulu","Hawaii","133,753","4.05%","7.42%"
"York","Virginia","133,056","4.08%","7.47%"
"Union","North Carolina","132,863","4.11%","7.52%"
"Harding","New Mexico","132,673","4.14%","7.57%"
"James City","Virginia","132,549","4.17%","7.62%"
"Barnstable","Massachusetts","132,436","4.2%","7.67%"
"Comal","Texas","132,390","4.23%","7.71%"
"Clackamas","Oregon","132,196","4.27%","7.76%"
"Arapahoe","Colorado","132,105","4.3%","7.81%"
"Harford","Maryland","132,060","4.33%","7.86%"
"Cobb","Georgia","131,991","4.36%","7.91%"
"Chatham","North Carolina","131,980","4.39%","7.95%"
"McKenzie","North Dakota","131,562","4.42%","8%"
"Dunn","North Dakota","131,547","4.45%","8.05%"
"Powhatan","Virginia","131,371","4.48%","8.1%"
"Denver","Colorado","131,349","4.51%","8.14%"
"San Miguel","Colorado","131,344","4.54%","8.19%"
"Will","Illinois","131,203","4.57%","8.24%"
"Monroe","Florida","130,952","4.61%","8.29%"
"Hudson","New Jersey","130,880","4.64%","8.33%"
"Dutchess","New York","130,755","4.67%","8.38%"
"Northwest Hills Planning Region","Connecticut","130,654","4.7%","8.43%"
"Washington","Rhode Island","130,358","4.73%","8.48%"
"Oakland","Michigan","130,332","4.76%","8.52%"
"Spotsylvania","Virginia","130,137","4.79%","8.57%"
"Davis","Utah","129,739","4.82%","8.62%"
"Dakota","Minnesota","129,420","4.85%","8.66%"
"San Juan","Washington","129,398","4.88%","8.71%"
"Lincoln","South Dakota","129,224","4.91%","8.76%"
"Glasscock","Texas","129,098","4.95%","8.81%"
"Burke","North Dakota","129,023","4.98%","8.85%"
"Sublette","Wyoming","128,783","5.01%","8.9%"
"Kane","Illinois","128,682","5.04%","8.95%"
"Hillsborough","New Hampshire","128,567","5.07%","8.99%"
"Saratoga","New York","128,469","5.1%","9.04%"
"Cherokee","Georgia","128,400","5.13%","9.09%"
"Monterey","California","128,334","5.16%","9.13%"
"McHenry","Illinois","128,231","5.19%","9.18%"
"Olmsted","Minnesota","128,162","5.22%","9.22%"
"Leelanau","Michigan","127,724","5.26%","9.27%"
"Maui","Hawaii","127,716","5.29%","9.32%"
"Anchorage Municipality","Alaska","127,598","5.32%","9.36%"
"Kendall","Illinois","127,433","5.35%","9.41%"
"Essex","New Jersey","127,323","5.38%","9.46%"
"Parker","Texas","127,321","5.41%","9.5%"
"St. Charles","Missouri","127,112","5.44%","9.55%"
"Gloucester","New Jersey","127,093","5.47%","9.59%"
"Charleston","South Carolina","126,878","5.5%","9.64%"
"Livingston","Michigan","126,515","5.53%","9.69%"
"Midland","Texas","126,452","5.56%","9.73%"
"King George","Virginia","126,189","5.6%","9.78%"
"San Luis Obispo","California","126,122","5.63%","9.82%"
"Delaware","Pennsylvania","126,081","5.66%","9.87%"
"Bristol Bay Borough","Alaska","126,030","5.69%","9.91%"
"Richmond","New York","125,764","5.72%","9.96%"
"Grand Isle","Vermont","125,572","5.75%","10.01%"
"Los Angeles","California","125,539","5.78%","10.05%"
"Kitsap","Washington","125,517","5.81%","10.1%"
"Cumberland","Maine","125,434","5.84%","10.14%"
"Bryan","Georgia","124,970","5.87%","10.19%"
"Palm Beach","Florida","124,934","5.9%","10.23%"
"Chesterfield","Virginia","124,805","5.94%","10.28%"
"Mecklenburg","North Carolina","124,725","5.97%","10.32%"
"Gallatin","Montana","124,551","6%","10.37%"
"Solano","California","124,288","6.03%","10.41%"
"St. Croix","Wisconsin","124,042","6.06%","10.46%"
"Kauai","Hawaii","124,027","6.09%","10.5%"
"Shelby","Alabama","123,911","6.12%","10.55%"
"Beaufort","South Carolina","123,126","6.15%","10.59%"
"Manassas Park city","Virginia","123,119","6.18%","10.64%"
"Wright","Minnesota","123,045","6.21%","10.68%"
"Capitol Planning Region","Connecticut","122,979","6.24%","10.73%"
"Aleutians West Census Area","Alaska","122,928","6.28%","10.77%"
"Washtenaw","Michigan","122,847","6.31%","10.82%"
"Juneau City and Borough","Alaska","122,575","6.34%","10.86%"
"Monroe","Illinois","122,572","6.37%","10.91%"
"Loving","Texas","122,464","6.4%","10.95%"
"Prince George's","Maryland","122,461","6.43%","10.99%"
"Columbia","New York","122,423","6.46%","11.04%"
"Douglas","Nevada","122,321","6.49%","11.08%"
"Platte","Missouri","122,134","6.52%","11.13%"
"Worcester","Massachusetts","122,104","6.55%","11.17%"
"Yolo","California","122,086","6.58%","11.22%"
"Sarpy","Nebraska","121,934","6.62%","11.26%"
"Benton","Arkansas","121,779","6.65%","11.3%"
"Henrico","Virginia","121,771","6.68%","11.35%"
"Warrick","Indiana","121,754","6.71%","11.39%"
"Sherburne","Minnesota","121,697","6.74%","11.44%"
"Orange","New York","121,539","6.77%","11.48%"
"Salt Lake","Utah","121,509","6.8%","11.53%"
"Utah","Utah","121,499","6.83%","11.57%"
"Blaine","Idaho","121,425","6.86%","11.61%"
"Talbot","Maryland","121,378","6.89%","11.66%"
"Baltimore","Maryland","121,241","6.92%","11.7%"
"St. Louis","Missouri","121,117","6.96%","11.75%"
"Ada","Idaho","121,034","6.99%","11.79%"
"Tooele","Utah","120,925","7.02%","11.83%"
"Hendricks","Indiana","120,729","7.05%","11.88%"
"Wilson","Tennessee","120,719","7.08%","11.92%"
"Martin","Florida","120,690","7.11%","11.96%"
"Chittenden","Vermont","120,665","7.14%","12.01%"
"Clark","Washington","120,560","7.17%","12.05%"
"Pierce","Washington","120,501","7.2%","12.1%"
"Walton","Florida","120,486","7.23%","12.14%"
"Deschutes","Oregon","120,187","7.26%","12.18%"
"Kings","New York","120,169","7.3%","12.23%"
"Brazoria","Texas","120,034","7.33%","12.27%"
"Sarasota","Florida","120,022","7.36%","12.31%"
"Madison","Mississippi","119,928","7.39%","12.36%"
"Cape May","New Jersey","119,743","7.42%","12.4%"
"Multnomah","Oregon","119,642","7.45%","12.44%"
"Williams","North Dakota","119,610","7.48%","12.49%"
"Isle of Wight","Virginia","119,223","7.51%","12.53%"
"Merrimack","New Hampshire","119,046","7.54%","12.57%"
"Larimer","Colorado","118,812","7.57%","12.62%"
"Chambers","Texas","118,778","7.6%","12.66%"
"Gilpin","Colorado","118,680","7.64%","12.7%"
"Grafton","New Hampshire","118,425","7.67%","12.75%"
"Columbia","Georgia","118,347","7.7%","12.79%"
"South Central Connecticut Planning Region","Connecticut","118,110","7.73%","12.83%"
"Virginia Beach city","Virginia","118,081","7.76%","12.87%"
"New Castle","Delaware","118,003","7.79%","12.92%"
"Teton","Idaho","117,932","7.82%","12.96%"
"Warren","New Jersey","117,781","7.85%","13%"
"Nevada","California","117,745","7.88%","13.05%"
"Hood River","Oregon","117,711","7.91%","13.09%"
"Cook","Illinois","117,699","7.94%","13.13%"
"Frederick","Virginia","117,692","7.98%","13.17%"
"Fredericksburg city","Virginia","117,378","8.01%","13.22%"
"Orange","Virginia","117,261","8.04%","13.26%"
"Monroe","Georgia","117,125","8.07%","13.3%"
"Dane","Wisconsin","117,041","8.1%","13.34%"
"Anoka","Minnesota","116,995","8.13%","13.39%"
"Chesapeake city","Virginia","116,849","8.16%","13.43%"
"Medina","Ohio","116,764","8.19%","13.47%"
"Union","South Dakota","116,720","8.22%","13.51%"
"Washoe","Nevada","116,699","8.25%","13.56%"
"Martin","Texas","116,270","8.28%","13.6%"
"Jefferson","West Virginia","116,259","8.32%","13.64%"
"Passaic","New Jersey","116,257","8.35%","13.68%"
"Wilson","Texas","116,219","8.38%","13.72%"
"Coweta","Georgia","116,087","8.41%","13.77%"
"Culpeper","Virginia","116,086","8.44%","13.81%"
"Boone","Kentucky","116,044","8.47%","13.85%"
"Harris","Georgia","115,910","8.5%","13.89%"
"Kent","Rhode Island","115,863","8.53%","13.93%"
