"county","state","median_income","cum_county","cum_median_income"
"Loudoun","Virginia","178,707","0.03%","0.09%"
"Santa Clara","California","159,674","0.06%","0.16%"
"San Mateo","California","156,000","0.09%","0.24%"
"Falls Church city","Virginia","154,734","0.12%","0.31%"
"Fairfax","Virginia","150,113","0.15%","0.38%"
"Howard","Maryland","146,982","0.19%","0.45%"
"Douglas","Colorado","145,737","0.22%","0.52%"
"Nassau","New York","143,408","0.25%","0.59%"
"Los Alamos","New Mexico","143,188","0.28%","0.66%"
"Marin","California","142,785","0.31%","0.73%"
"San Francisco","California","141,446","0.34%","0.79%"
"Arlington","Virginia","140,160","0.37%","0.86%"
"Hunterdon","New Jersey","139,453","0.4%","0.93%"
"Forsyth","Georgia","138,000","0.43%","0.99%"
"Summit","Utah","137,058","0.46%","1.06%"
"Somerset","New Jersey","135,960","0.49%","1.12%"
"Morris","New Jersey","134,929","0.53%","1.19%"
"Stafford","Virginia","133,792","0.56%","1.25%"
"Fairfax city","Virginia","132,774","0.59%","1.32%"
"Calvert","Maryland","132,059","0.62%","1.38%"
"Williamson","Tennessee","131,202","0.65%","1.44%"
"Delaware","Ohio","130,088","0.68%","1.5%"
"Fauquier","Virginia","129,495","0.71%","1.56%"
"Elbert","Colorado","129,477","0.74%","1.63%"
"Prince William","Virginia","128,873","0.77%","1.69%"
"Montgomery","Maryland","128,733","0.8%","1.75%"
"Suffolk","New York","128,329","0.83%","1.81%"
"Putnam","New York","127,405","0.87%","1.87%"
"Middlesex","Massachusetts","126,779","0.9%","1.93%"
"Norfolk","Massachusetts","126,497","0.93%","1.99%"
"Alameda","California","126,240","0.96%","2.05%"
"Morgan","Utah","126,092","0.99%","2.11%"
"Contra Costa","California","125,727","1.02%","2.17%"
"Rockwall","Texas","124,917","1.05%","2.23%"
"Western Connecticut Planning Region","Connecticut","124,553","1.08%","2.29%"
"Bergen","New Jersey","123,715","1.11%","2.35%"
"Carver","Minnesota","123,144","1.14%","2.41%"
"Chester","Pennsylvania","123,041","1.17%","2.47%"
"Monmouth","New Jersey","122,727","1.21%","2.53%"
"King","Washington","122,148","1.24%","2.59%"
"Oldham","Kentucky","121,491","1.27%","2.64%"
"Broomfield","Colorado","121,025","1.3%","2.7%"
"Poquoson city","Virginia","120,919","1.33%","2.76%"
"Charles","Maryland","120,592","1.36%","2.82%"
"Frederick","Maryland","120,458","1.39%","2.87%"
"Anne Arundel","Maryland","120,324","1.42%","2.93%"
"Scott","Minnesota","120,247","1.45%","2.99%"
"New Kent","Virginia","120,125","1.48%","3.05%"
"Nantucket","Massachusetts","119,750","1.51%","3.1%"
