"county","state","household_count","cum_county","cum_population"
"Los Angeles","California","3,390,254","0.03%","2.63%"
"Cook","Illinois","2,084,578","0.06%","4.25%"
"Harris","Texas","1,728,103","0.09%","5.6%"
"Maricopa","Arizona","1,697,342","0.12%","6.91%"
"San Diego","California","1,159,822","0.15%","7.82%"
"Orange","California","1,074,654","0.19%","8.65%"
"Kings","New York","1,009,596","0.22%","9.43%"
"Dallas","Texas","971,690","0.25%","10.19%"
"Miami-Dade","Florida","964,805","0.28%","10.94%"
"King","Washington","927,817","0.31%","11.66%"
"Clark","Nevada","847,378","0.34%","12.32%"
"Queens","New York","828,230","0.37%","12.96%"
"New York","New York","775,376","0.4%","13.56%"
"Tarrant","Texas","769,285","0.43%","14.16%"
"Riverside","California","762,234","0.46%","14.75%"
"Broward","Florida","749,372","0.49%","15.34%"
"Bexar","Texas","740,402","0.53%","15.91%"
"Wayne","Michigan","693,446","0.56%","16.45%"
"Philadelphia","Pennsylvania","669,222","0.59%","16.97%"
"San Bernardino","California","668,004","0.62%","17.49%"
"Santa Clara","California","654,467","0.65%","18%"
"Middlesex","Massachusetts","630,939","0.68%","18.49%"
"Palm Beach","Florida","597,053","0.71%","18.95%"
"Alameda","California","593,117","0.74%","19.41%"
"Hillsborough","Florida","569,998","0.77%","19.85%"
"Sacramento","California","568,223","0.8%","20.3%"
"Travis","Texas","561,491","0.83%","20.73%"
"Cuyahoga","Ohio","554,173","0.87%","21.16%"
"Franklin","Ohio","547,922","0.9%","21.59%"
"Allegheny","Pennsylvania","546,507","0.93%","22.01%"
"Hennepin","Minnesota","534,573","0.96%","22.43%"
"Bronx","New York","530,067","0.99%","22.84%"
"Oakland","Michigan","528,681","1.02%","23.25%"
"Suffolk","New York","512,280","1.05%","23.65%"
"Orange","Florida","508,907","1.08%","24.04%"
"Fulton","Georgia","457,791","1.11%","24.4%"
"Nassau","New York","456,076","1.14%","24.75%"
"Mecklenburg","North Carolina","455,494","1.17%","25.11%"
"Wake","North Carolina","445,636","1.21%","25.45%"
"Pima","Arizona","430,965","1.24%","25.79%"
"Pinellas","Florida","423,242","1.27%","26.12%"
"Salt Lake","Utah","416,589","1.3%","26.44%"
"St. Louis","Missouri","414,739","1.33%","26.76%"
"Fairfax","Virginia","412,663","1.36%","27.08%"
"Contra Costa","California","411,662","1.39%","27.4%"
"Erie","New York","408,711","1.42%","27.72%"
"Duval","Florida","405,139","1.45%","28.04%"
"Collin","Texas","400,182","1.48%","28.35%"
"Marion","Indiana","396,662","1.51%","28.66%"
"Capitol Planning Region","Connecticut","389,086","1.55%","28.96%"
"Milwaukee","Wisconsin","389,046","1.58%","29.26%"
"Montgomery","Maryland","387,881","1.61%","29.56%"
"Westchester","New York","370,256","1.64%","29.85%"
"San Francisco","California","362,650","1.67%","30.13%"
"Shelby","Tennessee","360,590","1.7%","30.41%"
"Macomb","Michigan","356,426","1.73%","30.69%"
"Bergen","New Jersey","353,307","1.76%","30.96%"
"Hamilton","Ohio","352,181","1.79%","31.24%"
"DuPage","Illinois","349,497","1.82%","31.51%"
"Multnomah","Oregon","347,392","1.85%","31.78%"
"Denton","Texas","346,809","1.89%","32.05%"
